id	time	lesion_area	leaf_area	ichloro_sum	x	y
SM363	0	573	10875	8440.227671830296	108.0	3556.5
SM3_2	0	94	22236	20271.406244461225	262.5	3565.5
SM3_3	0	450	17492	14698.072679726838	420.0	3577.5
SM3_4	0	133	16884	15024.052605951314	595.5	3571.5
SM3_5	0	0	21235	19058.15831247249	766.5	3555.0
SM3_6	0	124	19933	17537.743029865655	948.0	3553.5
SM3_7	0	0	24053	22177.26434887548	1137.0	3511.5
SM3_8	0	0	16804	14616.309680287835	1305.0	3523.5
SM3_9	0	432	18151	16050.64675552141	1464.0	3529.5
SM3_10	0	0	17733	15884.509393376306	1626.0	3526.5
SM3_11	0	393	16565	14453.029626962625	1803.0	3484.5
SM3_12	0	39	13036	11173.9755606629	1971.0	3459.0
SM3_13	0	25	3965	2725.896797073615	41.5	3351.0
SM3_14	0	398	15555	12502.232043907086	172.5	3330.0
SM3_15	0	11	19543	17938.238144479867	364.5	3307.5
SM3_16	0	7	21203	19266.183459374224	538.5	3297.0
SM3_17	0	213	20994	19074.38815486705	700.5	3279.0
SM3_18	0	300	14681	12774.79239267062	864.0	3282.0
SM3_19	0	82	8948	7788.627946138788	1018.5	3255.0
SM3_20	0	207	14165	12125.981613317008	1174.5	3246.0
SM3_21	0	0	16435	14747.329944538184	1366.5	3246.0
SM3_22	0	136	26502	24919.331446771073	1528.5	3223.5
SM3_23	0	23	17430	16186.482744214778	1714.5	3183.0
SM3_24	0	11	22706	20571.475759790996	1918.5	3178.5
SM3_25	0	0	11014	10134.688962330903	46.0	3055.5
SM3_26	0	113	15635	13733.679202746496	154.5	3034.5
SM3_27	0	34	19696	18114.549394739915	307.5	3025.5
SM3_28	0	43	22701	21316.932369852515	462.0	3010.5
SM3_29	0	0	12829	11080.353098832249	604.5	3016.5
SM3_30	0	17	21089	19893.925768781814	780.0	3019.5
SM3_31	0	0	18539	17481.885521522894	960.0	2956.5
SM3_32	0	0	20335	19151.07076647404	1128.0	2977.5
SM3_33	0	0	16851	16052.27232506959	1287.0	2938.5
SM3_34	0	0	16033	14922.736958370286	1446.0	2929.5
SM3_35	0	0	15451	14480.990802010874	1683.0	2935.5
SM3_36	0	0	22653	21618.77165805809	1864.5	2877.0
SM3_37	0	0	10193	9096.082373466572	171.0	2770.5
SM3_38	0	0	8604	8086.711575842008	312.0	2767.5
SM3_39	0	0	9358	8745.120776385298	465.0	2739.0
SM3_40	0	0	10126	9521.734778030546	591.0	2769.0
SM3_41	0	0	13043	12443.145628572189	732.0	2721.0
SM3_42	0	0	13576	13052.11888499692	888.0	2691.0
SM2_43	0	0	29825	29267.105132547647	70.0	2104.5
SM2_44	0	0	30234	29709.93755737387	226.5	2071.5
SM2_45	0	0	24938	24184.811721242735	397.5	2076.0
SM2_46	0	0	22506	22113.970213203407	562.5	2092.5
SM2_47	0	0	21066	20571.254637244976	714.0	2094.0
SM2_48	0	0	19319	18583.08618425933	886.5	2103.0
SM2_49	0	0	23138	22620.288406611813	1045.5	2140.5
SM2_50	0	0	24653	24181.718967052482	1198.5	2122.5
SM2_51	0	0	13182	12400.322071906206	1342.5	2092.5
SM2_52	0	0	16228	15623.966886952836	1485.0	2083.5
SM2_53	0	0	18273	17714.971356249527	1636.5	2067.0
SM2_54	0	0	20272	19652.035773600073	1777.5	2058.0
SM2_55	0	1	18064	17411.559062769833	1942.5	2067.0
SM2_56	0	0	21414	20589.84569787955	2088.5	2052.0
SM2_57	0	7	9688	9207.861363538603	50.5	1800.0
SM2_58	0	0	23137	22722.274650324787	186.0	1779.0
SM2_59	0	0	18950	18285.71353304119	336.0	1776.0
SM2_60	0	0	17199	16720.848660297343	462.0	1803.0
SM2_61	0	0	16249	15796.310247274501	607.5	1797.0
SM2_62	0	0	18601	18140.093286444036	766.5	1797.0
SM2_63	0	0	20959	20500.106101955393	934.5	1860.0
